table36_id,species_name,genus,species,source,length_min,length_max,width_min,width_max,q_min,q_max,parmasto_length_mean,parmasto_width_mean,parmasto_q_mean,parmasto_v_sp_length,parmasto_v_sp_width,parmasto_v_sp_q,parmasto_v_ind_length,parmasto_v_ind_width,parmasto_v_ind_q
85,Amanita phalloides,Amanita,phalloides,"Parmasto, 1987",7.0,9.2,5.7,7.7,1.0,1.4,8.02,6.92,1.16,8.2,10.3,10.0,,,
13,Antrodiella onychoides,Antrodiella,onychoides,"Parmasto, 1987",3.5,4.1,1.2,1.7,2.2,3.1,3.84,1.47,2.65,4.5,9.5,9.5,,,
14,Antrodiella semisupina,Antrodiella,semisupina,"Parmasto, 1987",2.9,3.5,1.7,2.0,1.4,2.1,3.23,1.88,1.73,5.4,4.4,5.3,,,
9,Auricularia americana,Auricularia,americana,"Parmasto, 1987",12.8,16.1,4.8,5.7,2.3,3.2,14.45,5.24,2.77,6.6,4.9,9.7,,,
8,Auricularia auricula,Auricularia,auricula,"Parmasto, 1987",18.4,21.9,6.1,7.1,2.8,3.3,20.18,6.61,3.06,4.8,4.0,4.8,,,
10,Basidiodendron caesiocinereum,Basidiodendron,caesiocinereum,"Parmasto, 1987",6.3,9.1,5.9,8.3,1.0,1.2,7.7,7.11,1.0,9.3,8.7,3.6,,,
11,Basidiodendron eyrei,Basidiodendron,eyrei,"Parmasto, 1987",4.6,5.9,3.9,6.0,0.9,1.2,5.27,4.96,1.07,5.8,10.1,6.3,,,
86,Bolbitius vitellinus,Bolbitius,vitellinus,"Parmasto, 1987",9.7,12.4,5.9,7.3,1.6,1.8,11.04,6.59,1.68,7.2,6.3,4.5,,,
15,Cantharellus ignicolor,Cantharellus,ignicolor,"Parmasto, 1987",,,,,1.3,1.5,,,1.37,,,4.2,,,
16,Cantharellus lutescens,Cantharellus,lutescens,"Parmasto, 1987",9.3,11.1,6.5,7.8,1.3,1.5,10.16,7.16,1.42,4.9,4.8,3.2,,,
17,Cantharellus tubaeformis,Cantharellus,tubaeformis,"Parmasto, 1987",8.4,11.4,7.1,8.9,1.1,1.3,10.18,8.19,1.24,6.9,3.7,5.7,,,
78,Cephaloscypha mairei,Cephaloscypha,mairei,"Parmasto, 1987",8.0,11.0,3.0,4.0,2.0,3.4,9.46,3.49,2.71,8.1,7.1,12.9,,,
18,Clavaria zollingeri,Clavaria,zollingeri,"Parmasto, 1987",4.3,6.1,2.3,4.5,0.9,2.2,5.21,3.42,1.58,9.9,18.2,23.2,,,
19,Coniophora fusispora,Coniophora,fusispora,"Parmasto, 1987",14.7,20.1,,,,,17.36,,,9.2,6.4,,,,
87,Conocybe brunnea,Conocybe,brunnea,"Parmasto, 1987",5.6,6.9,3.1,4.4,1.5,1.8,6.28,3.77,1.67,6.0,9.5,5.8,,,
88,Conocybe intrusa,Conocybe,intrusa,"Parmasto, 1987",5.1,7.8,3.7,5.2,1.4,1.5,6.42,4.46,1.44,11.0,8.5,3.2,10.7,11.1,10.7
20,Coriolus hirsutus,Coriolus,hirsutus,"Parmasto, 1987",5.8,6.8,1.7,2.8,2.2,3.4,6.06,2.04,3.01,2.8,12.9,13.3,9.5,13.5,
21,Coriolus pubescens,Coriolus,pubescens,"Parmasto, 1987",5.1,6.4,1.6,2.1,2.5,3.6,5.71,1.91,3.0,9.8,5.1,10.7,9.4,14.0,
22,Coriolus tephroleucus,Coriolus,tephroleucus,"Parmasto, 1987",6.0,8.3,2.0,2.8,2.6,3.4,7.43,2.43,3.07,8.3,6.7,4.3,10.4,12.2,8.3
23,Coriolus versicolor,Coriolus,versicolor,"Parmasto, 1987",4.9,6.1,1.5,2.6,2.2,3.2,5.29,1.84,2.89,5.2,11.4,6.9,8.8,14.3,
24,Coriolus zonatus,Coriolus,zonatus,"Parmasto, 1987",5.5,6.5,1.8,3.1,1.9,3.0,6.07,2.24,2.71,5.2,7.8,5.4,10.0,15.0,
89,Cortinarius raphanoides,Cortinarius,raphanoides,"Parmasto, 1987",7.1,8.4,5.0,5.7,1.4,1.5,7.76,5.35,1.45,4.6,4.2,3.8,,,
90,Cortinarius sanguineus,Cortinarius,sanguineus,"Parmasto, 1987",7.6,8.6,4.1,4.8,1.7,2.0,8.08,4.46,1.81,3.0,3.5,4.2,,,
91,Cortinarius saniosus,Cortinarius,saniosus,"Parmasto, 1987",8.0,10.2,4.3,6.4,1.3,2.1,9.24,5.5,1.68,5.3,3.7,5.1,7.5,6.9,7.3
92,Cymatellopsis ilmiana,Cymatellopsis,ilmiana,"Parmasto, 1987",11.0,12.6,4.3,4.8,2.5,2.7,11.77,4.56,2.59,3.2,3.0,2.5,,,
79,Cyphellopsis anomala s.l.,Cyphellopsis,anomala s.l.,"Parmasto, 1987",,,,,2.5,3.8,,,3.15,,,11.7,,,
25,Dentocorticium ussuricum,Dentocorticium,ussuricum,"Parmasto, 1987",5.8,8.1,2.0,2.9,2.7,3.1,6.97,2.46,2.87,8.1,8.2,3.3,8.9,8.3,8.5
12,Exidiopsis calcea,Exidiopsis,calcea,"Parmasto, 1987",14.3,17.9,5.2,6.8,2.4,3.0,16.09,6.0,2.69,6.0,7.4,5.6,,,
1,Exobasidium juelianum,Exobasidium,juelianum,"Parmasto, 1987",10.3,12.5,2.5,3.2,3.7,4.4,11.4,2.83,4.04,5.3,6.9,5.3,,,
2,Exobasidium myrtilli s. str.,Exobasidium,myrtilli s. str.,"Parmasto, 1987",11.9,14.4,3.1,4.0,3.2,4.3,13.21,3.56,3.73,5.0,6.7,7.9,,,
3,Exobasidium pachysporum,Exobasidium,pachysporum,"Parmasto, 1987",11.8,14.1,4.2,5.0,2.5,3.2,13.06,4.59,2.85,4.8,4.8,6.9,,,
4,Exobasidium rostrupii,Exobasidium,rostrupii,"Parmasto, 1987",11.7,13.5,3.5,4.3,2.9,3.6,12.62,3.87,3.29,3.9,5.4,5.6,,,
5,Exobasidium sundstroemii,Exobasidium,sundstroemii,"Parmasto, 1987",10.6,11.6,2.6,3.4,3.2,4.3,11.09,2.98,3.73,2.5,7.0,7.6,,,
6,Exobasidium sydowianum,Exobasidium,sydowianum,"Parmasto, 1987",12.5,13.9,3.4,4.0,3.4,3.7,13.18,3.71,3.56,2.7,3.8,2.4,,,
7,Exobasidium vaccinii s. str.,Exobasidium,vaccinii s. str.,"Parmasto, 1987",13.5,17.4,3.2,3.9,3.9,4.8,15.46,3.57,4.34,7.0,5.3,5.6,,,
80,Flagelloscypha donkii,Flagelloscypha,donkii,"Parmasto, 1987",5.6,7.9,2.7,3.6,1.8,2.5,6.75,3.15,2.15,9.4,8.1,8.0,,,
